Layer Type,Number of Parameters,Input Shape,Output Shape
Conv3d,9408,"[1, 1, 48, 128, 128]","[1, 64, 48, 64, 64]"
BatchNorm3d,128,"[1, 64, 48, 64, 64]","[1, 64, 48, 64, 64]"
ReLU,0,"[1, 64, 48, 64, 64]","[1, 64, 48, 64, 64]"
BasicStem,9536,"[1, 1, 48, 128, 128]","[1, 64, 48, 64, 64]"
Conv3DSimple,110592,"[1, 64, 48, 64, 64]","[1, 64, 48, 64, 64]"
BatchNorm3d,128,"[1, 64, 48, 64, 64]","[1, 64, 48, 64, 64]"
ReLU,0,"[1, 64, 48, 64, 64]","[1, 64, 48, 64, 64]"
Sequential,110720,"[1, 64, 48, 64, 64]","[1, 64, 48, 64, 64]"
Conv3DSimple,110592,"[1, 64, 48, 64, 64]","[1, 64, 48, 64, 64]"
BatchNorm3d,128,"[1, 64, 48, 64, 64]","[1, 64, 48, 64, 64]"
Sequential,110720,"[1, 64, 48, 64, 64]","[1, 64, 48, 64, 64]"
ReLU,0,"[1, 64, 48, 64, 64]","[1, 64, 48, 64, 64]"
BasicBlock,221440,"[1, 64, 48, 64, 64]","[1, 64, 48, 64, 64]"
Conv3DSimple,110592,"[1, 64, 48, 64, 64]","[1, 64, 48, 64, 64]"
BatchNorm3d,128,"[1, 64, 48, 64, 64]","[1, 64, 48, 64, 64]"
ReLU,0,"[1, 64, 48, 64, 64]","[1, 64, 48, 64, 64]"
Sequential,110720,"[1, 64, 48, 64, 64]","[1, 64, 48, 64, 64]"
Conv3DSimple,110592,"[1, 64, 48, 64, 64]","[1, 64, 48, 64, 64]"
BatchNorm3d,128,"[1, 64, 48, 64, 64]","[1, 64, 48, 64, 64]"
Sequential,110720,"[1, 64, 48, 64, 64]","[1, 64, 48, 64, 64]"
ReLU,0,"[1, 64, 48, 64, 64]","[1, 64, 48, 64, 64]"
BasicBlock,221440,"[1, 64, 48, 64, 64]","[1, 64, 48, 64, 64]"
Sequential,442880,"[1, 64, 48, 64, 64]","[1, 64, 48, 64, 64]"
Conv3DSimple,221184,"[1, 64, 48, 64, 64]","[1, 128, 24, 32, 32]"
BatchNorm3d,256,"[1, 128, 24, 32, 32]","[1, 128, 24, 32, 32]"
ReLU,0,"[1, 128, 24, 32, 32]","[1, 128, 24, 32, 32]"
Sequential,221440,"[1, 64, 48, 64, 64]","[1, 128, 24, 32, 32]"
Conv3DSimple,442368,"[1, 128, 24, 32, 32]","[1, 128, 24, 32, 32]"
BatchNorm3d,256,"[1, 128, 24, 32, 32]","[1, 128, 24, 32, 32]"
Sequential,442624,"[1, 128, 24, 32, 32]","[1, 128, 24, 32, 32]"
Conv3d,8192,"[1, 64, 48, 64, 64]","[1, 128, 24, 32, 32]"
BatchNorm3d,256,"[1, 128, 24, 32, 32]","[1, 128, 24, 32, 32]"
Sequential,8448,"[1, 64, 48, 64, 64]","[1, 128, 24, 32, 32]"
ReLU,0,"[1, 128, 24, 32, 32]","[1, 128, 24, 32, 32]"
BasicBlock,672512,"[1, 64, 48, 64, 64]","[1, 128, 24, 32, 32]"
Conv3DSimple,442368,"[1, 128, 24, 32, 32]","[1, 128, 24, 32, 32]"
BatchNorm3d,256,"[1, 128, 24, 32, 32]","[1, 128, 24, 32, 32]"
ReLU,0,"[1, 128, 24, 32, 32]","[1, 128, 24, 32, 32]"
Sequential,442624,"[1, 128, 24, 32, 32]","[1, 128, 24, 32, 32]"
Conv3DSimple,442368,"[1, 128, 24, 32, 32]","[1, 128, 24, 32, 32]"
BatchNorm3d,256,"[1, 128, 24, 32, 32]","[1, 128, 24, 32, 32]"
Sequential,442624,"[1, 128, 24, 32, 32]","[1, 128, 24, 32, 32]"
ReLU,0,"[1, 128, 24, 32, 32]","[1, 128, 24, 32, 32]"
BasicBlock,885248,"[1, 128, 24, 32, 32]","[1, 128, 24, 32, 32]"
Sequential,1557760,"[1, 64, 48, 64, 64]","[1, 128, 24, 32, 32]"
Conv3DSimple,884736,"[1, 128, 24, 32, 32]","[1, 256, 12, 16, 16]"
BatchNorm3d,512,"[1, 256, 12, 16, 16]","[1, 256, 12, 16, 16]"
ReLU,0,"[1, 256, 12, 16, 16]","[1, 256, 12, 16, 16]"
Sequential,885248,"[1, 128, 24, 32, 32]","[1, 256, 12, 16, 16]"
Conv3DSimple,1769472,"[1, 256, 12, 16, 16]","[1, 256, 12, 16, 16]"
BatchNorm3d,512,"[1, 256, 12, 16, 16]","[1, 256, 12, 16, 16]"
Sequential,1769984,"[1, 256, 12, 16, 16]","[1, 256, 12, 16, 16]"
Conv3d,32768,"[1, 128, 24, 32, 32]","[1, 256, 12, 16, 16]"
BatchNorm3d,512,"[1, 256, 12, 16, 16]","[1, 256, 12, 16, 16]"
Sequential,33280,"[1, 128, 24, 32, 32]","[1, 256, 12, 16, 16]"
ReLU,0,"[1, 256, 12, 16, 16]","[1, 256, 12, 16, 16]"
BasicBlock,2688512,"[1, 128, 24, 32, 32]","[1, 256, 12, 16, 16]"
Conv3DSimple,1769472,"[1, 256, 12, 16, 16]","[1, 256, 12, 16, 16]"
BatchNorm3d,512,"[1, 256, 12, 16, 16]","[1, 256, 12, 16, 16]"
ReLU,0,"[1, 256, 12, 16, 16]","[1, 256, 12, 16, 16]"
Sequential,1769984,"[1, 256, 12, 16, 16]","[1, 256, 12, 16, 16]"
Conv3DSimple,1769472,"[1, 256, 12, 16, 16]","[1, 256, 12, 16, 16]"
BatchNorm3d,512,"[1, 256, 12, 16, 16]","[1, 256, 12, 16, 16]"
Sequential,1769984,"[1, 256, 12, 16, 16]","[1, 256, 12, 16, 16]"
ReLU,0,"[1, 256, 12, 16, 16]","[1, 256, 12, 16, 16]"
BasicBlock,3539968,"[1, 256, 12, 16, 16]","[1, 256, 12, 16, 16]"
Sequential,6228480,"[1, 128, 24, 32, 32]","[1, 256, 12, 16, 16]"
Conv3DSimple,3538944,"[1, 256, 12, 16, 16]","[1, 512, 6, 8, 8]"
BatchNorm3d,1024,"[1, 512, 6, 8, 8]","[1, 512, 6, 8, 8]"
ReLU,0,"[1, 512, 6, 8, 8]","[1, 512, 6, 8, 8]"
Sequential,3539968,"[1, 256, 12, 16, 16]","[1, 512, 6, 8, 8]"
Conv3DSimple,7077888,"[1, 512, 6, 8, 8]","[1, 512, 6, 8, 8]"
BatchNorm3d,1024,"[1, 512, 6, 8, 8]","[1, 512, 6, 8, 8]"
Sequential,7078912,"[1, 512, 6, 8, 8]","[1, 512, 6, 8, 8]"
Conv3d,131072,"[1, 256, 12, 16, 16]","[1, 512, 6, 8, 8]"
BatchNorm3d,1024,"[1, 512, 6, 8, 8]","[1, 512, 6, 8, 8]"
Sequential,132096,"[1, 256, 12, 16, 16]","[1, 512, 6, 8, 8]"
ReLU,0,"[1, 512, 6, 8, 8]","[1, 512, 6, 8, 8]"
BasicBlock,10750976,"[1, 256, 12, 16, 16]","[1, 512, 6, 8, 8]"
Conv3DSimple,7077888,"[1, 512, 6, 8, 8]","[1, 512, 6, 8, 8]"
BatchNorm3d,1024,"[1, 512, 6, 8, 8]","[1, 512, 6, 8, 8]"
ReLU,0,"[1, 512, 6, 8, 8]","[1, 512, 6, 8, 8]"
Sequential,7078912,"[1, 512, 6, 8, 8]","[1, 512, 6, 8, 8]"
Conv3DSimple,7077888,"[1, 512, 6, 8, 8]","[1, 512, 6, 8, 8]"
BatchNorm3d,1024,"[1, 512, 6, 8, 8]","[1, 512, 6, 8, 8]"
Sequential,7078912,"[1, 512, 6, 8, 8]","[1, 512, 6, 8, 8]"
ReLU,0,"[1, 512, 6, 8, 8]","[1, 512, 6, 8, 8]"
BasicBlock,14157824,"[1, 512, 6, 8, 8]","[1, 512, 6, 8, 8]"
Sequential,24908800,"[1, 256, 12, 16, 16]","[1, 512, 6, 8, 8]"
AdaptiveAvgPool3d,0,"[1, 512, 6, 8, 8]","[1, 512, 1, 1, 1]"
Linear,205200,"[1, 512]","[1, 400]"
